pid,b_name,title,size,og_price,new_price,sold_price,is_sold,old_date,new_date,%p_change,Link,uname,ship_cost,amt_sold,amt_feedback,amt_listings,desc,amt_likes,prf_link,feed_link,size_desc,loc,amt_pics
19617945,Craig Green,Craig Green Work Jacket,m,$500,$364,NA,False,3 months,4 days ,27.2%,/listings/19617945-craig-green-craig-green-work-jacket,bazaarparadigm2,$12,(51),22 ,15 ,Love the fit on this one. Not sure of season i think either 2018 or 2019 but message if u have any questions.,16,https://www.grailed.com/bazaarparadigm2,https://www.grailed.com/bazaarparadigm2/feedback,Size: US M / EU 48-50 / 2,US,0
13992295,Craig Green,Craig Green Work Jacket,m,$425,$343,NA,False, 1 year, 2 months ,19.29%,/listings/13992295-craig-green-craig-green-work-jacket,GigantHans,NA,(9),3 ,12 ,"Craig Green workers jacket in navy blue. Slightly worn. Size medium. Perfect for the spring and summer. Great detailing - which Craig Green is known for.
Dont hesitate to ask any questions regarding the jacket.
Located in Denmark.",171,https://www.grailed.com/GigantHans,https://www.grailed.com/GigantHans/feedback,Size: US M / EU 48-50 / 2,NA,6
12868245,Craig Green,Craig Green Work Jacket,m,$680,$550,NA,False, 1 year, 1 year ,19.12%,/listings/12868245-craig-green-craig-green-work-jacket,RickyRumbler96,NA,(10),0,42 ,Craig Green work jacket with rope detail and pouch style pockets,370,https://www.grailed.com/RickyRumbler96,https://www.grailed.com/RickyRumbler96,Size: US M / EU 48-50 / 2,NA,4
20918214,Craig Green,Craig Green Quilted Work Jacket,xs,"$3,000","$2,150",NA,False,19 days,3 days ,28.33%,/listings/20918214-craig-green-craig-green-quilted-work-jacket,ACMT,$30,(9),1 ,2 ,fit S-M,39,https://www.grailed.com/ACMT,https://www.grailed.com/ACMT/feedback,Size: US XS / EU 42 / 0,Other,6
20917104,Craig Green,Craig Green Quilted Work Jacket,xl,$950,NA,NA,False,22 days,7 days ,NA,/listings/20917104-craig-green-craig-green-quilted-work-jacket,justinreed,$12,(1616),891 ,802 ,"Craig Green Quilted Work Jacket
Size: XL
Condition: Pre-owned, excellent
Color: Red
Measurements
Pit to pit: 23""
Top to bottom: 26.5""
Shoulder: 17.5""
Sleeve outseam: 26""
-ALL PRICES ARE FIRM. NO TRADES.
-We are a boutique consignment shop specializing in hard to find items, clothing, accessories, and art.
-Everything we sell is guaranteed 100% authentic.
-All USA orders ship USPS.
-All WORLDWIDE orders ship FedEx Express.",6,https://www.grailed.com/justinreed,https://www.grailed.com/justinreed/feedback,Size: US XL / EU 56 / 4,US,2
19896246,Craig Green,Craig Green Light Work Jacket,l,$500,$405,NA,False,2 months,9 days ,19.0%,/listings/19896246-craig-green-craig-green-light-work-jacket,hotrynudo,$15,(221),124 ,9 ,"Brand new without tags
Size L fits true to size
Do not send offer numbers
Only binding offers will be responded
Everything shipped out winthin two business days after payment received",127,https://www.grailed.com/hotrynudo,https://www.grailed.com/hotrynudo/feedback,Size: US L / EU 52-54 / 3,US,4
20022354,Craig Green,Craig Green Laced Work Jacket,s,$550,$495,NA,False,2 months, 2 months ,10.0%,/listings/20022354-craig-green-craig-green-laced-work-jacket,LuxeGrailsLDN,$40,(46),14 ,9 ,"This incredible Work Jacket is from SS20 and it comes brand new with tags.
It fits true to size.
HMU with any questions, I’m open to reasonable offers
Shipped within 1-3 days after confirmation of payment, no returns.
I’m not responsible of any delays of problems that may happen with courier services after they have been dispatched.
Do bare in mind some parcels may take longer to certain countries
Nonetheless, I will support as much as I can with any issues.
No Exchanges, trades or returns.",72,https://www.grailed.com/LuxeGrailsLDN,https://www.grailed.com/LuxeGrailsLDN/feedback,Size: US S / EU 44-46 / 1,UK,9
21185865,Craig Green,Quilted Work Jacket,xs,NA,NA,$590,True,NA,Sold  12 hours ,NA,/listings/21185865-craig-green-quilted-work-jacket,calebbelkin,NA,(73),22 ,2 ,"Craig green AW20 quilted jacket, bought it from ssense. (Craig green x ssense exclusive). Tagged as a size XS but fits like a tts S or slim medium. Retail $1000+. Open to offers",34,https://www.grailed.com/calebbelkin,https://www.grailed.com/calebbelkin/feedback,Size: US XS / EU 42 / 0,NA,7
14809790,Craig Green,Quilted Work Skin Jacket,m,NA,NA,$725,True,NA,Sold 12 days ,NA,/listings/14809790-craig-green-quilted-work-skin-jacket,micahdea,NA,(40),26 ,3 ,"Not really lookin to sell but everything got a price
Will bump or lower price if lookin to sell
Pit to Pit: 22.75 in.
Shoulder to Shoulder: 18.25 in.
Shoulder to Cuff: 26.25 in.
Neck to Bottom: 26 in.",113,https://www.grailed.com/micahdea,https://www.grailed.com/micahdea/feedback,Size: US M / EU 48-50 / 2,NA,2
18132865,Vintage,Vintage Navy Work/ Chore Jacket,l,NA,NA,$45,True,NA,Sold 18 days ,NA,/listings/18132865-vintage-vintage-navy-work-chore-jacket,pedrocensi,NA,(23),11 ,2 ,"Vintage Navy Work/ Chore Jacket
-Great quality, no major flaws
-Beautiful Navy Blue Color, perfect for layering
-Size L/ Oversized M
•BASED IN GERMANY🇩🇪 •WORLDWIDE SHIPPING🌍 •BUNDLES/ NEGOTIABLE PRICES ☻
•PLEASE MESSAGE BEFORE BUYING
•MORE FEEDBACKS AT:
GRAILED.COM/PEDROCENSI",10,https://www.grailed.com/pedrocensi,https://www.grailed.com/pedrocensi/feedback,Size: US L / EU 52-54 / 3,NA,2
