pid,b_name,title,size,og_price,new_price,sold_price,is_sold,old_date,new_date,%p_change,Link,uname,ship_cost,amt_sold,amt_feedback,amt_listings,desc,amt_likes,prf_link,feed_link,size_desc,loc,amt_pics
21313544,Avant Garde × Issey Miyake,Super Rare Issey Miyake Pleats Please Parka Jacket,s,$300,NA,NA,False,NA, 8 hours ,NA,/listings/21313544-avant-garde-x-issey-miyake-super-rare-issey-miyake-pleats-please-parka-jacket,HANSTORE,$20,(353),185 ,714 ,NA,15,https://www.grailed.com/HANSTORE,https://www.grailed.com/HANSTORE/feedback,Size: US S / EU 44-46 / 1,Asia,11
20839211,Issey Miyake,Issey Miyake Pleats Please Tote Bag Bilbao Pink,os,$380,$127,NA,False,24 days, 14 hours ,66.58%,/listings/20839211-issey-miyake-issey-miyake-pleats-please-tote-bag-bilbao-pink,sidmustache88,NA,(46),21 ,535 ,NA,11,https://www.grailed.com/sidmustache88,https://www.grailed.com/sidmustache88/feedback,Size: ONE SIZE,NA,9
19650298,Issey Miyake,Issey Miyake Pleats Please Hai Sporting Gear Patchwork,m,$850,$405,NA,False,3 months, 16 hours ,52.35%,/listings/19650298-issey-miyake-issey-miyake-pleats-please-hai-sporting-gear-patchwork,BlackGothNinjaz,$35,(446),175 ,4144 ,NA,78,https://www.grailed.com/BlackGothNinjaz,https://www.grailed.com/BlackGothNinjaz/feedback,Size: US M / EU 48-50 / 2,Asia,8
20977715,Issey Miyake,Issey Miyake Pleats Please Pants,32,$280,NA,NA,False,17 days, 19 hours ,NA,/listings/20977715-issey-miyake-issey-miyake-pleats-please-pants,nostalgia,$10,(1581),930 ,156 ,NA,75,https://www.grailed.com/nostalgia,https://www.grailed.com/nostalgia/feedback,Size: US 32 / EU 48,Canada,5
20966930,Issey Miyake,⚡️𝐐𝐔𝐈𝐂𝐊 𝐒𝐀𝐋𝐄 Rare Issey Miyake Pleats Knitwear,xl,$243,NA,NA,False,17 days,1 day ,NA,/listings/20966930-issey-miyake-rare-issey-miyake-pleats-knitwear,cameronbensimon,$15,(1528),687 ,759 ,NA,86,https://www.grailed.com/cameronbensimon,https://www.grailed.com/cameronbensimon/feedback,Size: US XL / EU 56 / 4,Europe,7
20881960,Issey Miyake,Issey Miyake Pleats Please Homme Plisse Pleated Jacket,m,$618,$556,NA,False,22 days,1 day ,10.03%,/listings/20881960-issey-miyake-issey-miyake-pleats-please-homme-plisse-pleated-jacket,smrluxurystore,$20,(336),174 ,826 ,NA,37,https://www.grailed.com/smrluxurystore,https://www.grailed.com/smrluxurystore/feedback,Size: US M / EU 48-50 / 2,Other,12
19599113,Issey Miyake,Homme Plissé Issey Miyake Pleats Trousers - Size 1,32,$390,$351,NA,False,3 months,1 day ,10.0%,/listings/19599113-issey-miyake-homme-plisse-issey-miyake-pleats-trousers-size-1,V333,$15,(166),100 ,14 ,NA,25,https://www.grailed.com/V333,https://www.grailed.com/V333/feedback,Size: US 32 / EU 48,US,6
20825325,Custom Made × Other,Pleated Pants (no Brand),30,NA,NA,$60,True,NA,Sold 1 day ,NA,/listings/20825325-custom-made-x-other-pleated-pants-no-brand,onmysolodolo,NA,(36),22 ,18 ,NA,5,https://www.grailed.com/onmysolodolo,https://www.grailed.com/onmysolodolo/feedback,Size: US 30 / EU 46,NA,5
20627238,Issey Miyake,Vintage Issey Miyake Is Checkered Long Skirt Pleats Please,26,NA,NA,$170,True,NA,Sold 1 day ,NA,/listings/20627238-issey-miyake-vintage-issey-miyake-is-checkered-long-skirt-pleats-please,mhishop,NA,(64),27 ,312 ,NA,4,https://www.grailed.com/mhishop,https://www.grailed.com/mhishop/feedback,Size: US 26 / EU 42,NA,11
20667061,Issey Miyake × Vintage,Vintage Rare Pleats Please Issey Miyake Pant 90s,35,NA,NA,$115,True,NA,Sold 3 days ,NA,/listings/20667061-issey-miyake-x-vintage-vintage-rare-pleats-please-issey-miyake-pant-90s,NpdOldmarket,NA,(7),0,85 ,NA,17,https://www.grailed.com/NpdOldmarket,https://www.grailed.com/NpdOldmarket,Size: US 35,NA,5
21042910,Issey Miyake,Homme Plisse Tailored Pleats 2,30,NA,NA,$275,True,NA,Sold 4 days ,NA,/listings/21042910-issey-miyake-homme-plisse-tailored-pleats-2,currents,NA,(405),210 ,4 ,NA,40,https://www.grailed.com/currents,https://www.grailed.com/currents/feedback,Size: US 30 / EU 46,NA,5
20778458,Issey Miyake,Tailored Straight-leg Pleats (very Rare!),32,NA,NA,$330,True,NA,Sold 5 days ,NA,/listings/20778458-issey-miyake-tailored-straight-leg-pleats-very-rare,LukeTheDrifter,NA,(52),30 ,9 ,NA,4,https://www.grailed.com/LukeTheDrifter,https://www.grailed.com/LukeTheDrifter/feedback,Size: US 32 / EU 48,NA,3
20674928,Issey Miyake,Issey Miyake Pleats Please Wide Pants,32,NA,NA,$218,True,NA,Sold 6 days ,NA,/listings/20674928-issey-miyake-issey-miyake-pleats-please-wide-pants,HiddenRaiments,NA,(13),3 ,13 ,NA,13,https://www.grailed.com/HiddenRaiments,https://www.grailed.com/HiddenRaiments/feedback,Size: US 32 / EU 48,NA,2
20964351,Issey Miyake,Tailored Pleats,32,NA,NA,$285,True,NA,Sold 7 days ,NA,/listings/20964351-issey-miyake-tailored-pleats,connorindica,NA,(31),24 ,2 ,NA,33,https://www.grailed.com/connorindica,https://www.grailed.com/connorindica/feedback,Size: US 32 / EU 48,NA,7
