pid,b_name,title,size,og_price,new_price,sold_price,is_sold,old_date,new_date,%p_change,Link,uname,ship_cost,amt_sold,amt_feedback,amt_listings,desc,amt_likes,prf_link,feed_link,size_desc,loc,amt_pics
21200636,Nike,Vintage Nike Air Jordan 1 1985 Chicago,11,"$3,200",NA,NA,False,NA, 6 hours ,NA,/listings/21200636-nike-vintage-nike-air-jordan-1-1985-chicago,Cingra95,$50,(31),8 ,29 ,"1985 Nike Air Jordan 1, Chicago.
=======================
- Size: 11
- Made in Korea
- Super rare in this size and condition.
- 100% wearable.
- Orig box and laces NOT included.
* These have SOFT SOLES.
* The collar ankle foam has been replaced, and the interior has been sewn back up, see photos.
*The worn down Nike tag looks to be touched up.
* They have been cleaned & conditioned.
* Original insoles.
No refunds, no returns, no exchanges.
All sales final.
Guaranteed 100% authentic.
* these shoes are over 36 years old, please wear at your own risk.",1,https://www.grailed.com/Cingra95,https://www.grailed.com/Cingra95/feedback,Size: US 11 / EU 44,US,23
17656176,Jordan Brand,Air Jordan 1 Og 1985 Chicago,8,"$3,200",NA,NA,False,NA,6 months ,NA,/listings/17656176-jordan-brand-air-jordan-1-og-1985-chicago,fuckedupclothes,$8,(60),26 ,6 ,OG insoles and white laces No BOX 8.5/10 condition slight drag paint chipping on collars and a few scuffs. Collars are 100% soft,70,https://www.grailed.com/fuckedupclothes,https://www.grailed.com/fuckedupclothes/feedback,Size: US 8 / EU 41,US,10
20291146,Jordan Brand × Nike,Jordan 1 Chicago 1985,8,"$2,000","$1,296",NA,False, 2 months,11 days ,35.2%,/listings/20291146-jordan-brand-x-nike-jordan-1-chicago-1985,antiyec,NA,(44),26 ,7 ,"Jordan 1 1985 Chicago size 8.
These were taken to a cobbler/shoe repairman before working on Jordans/customs was common. The guy really messed them up trying to reinforce everything. There's random stitching, painting, cushioning, and hardening throughout the top portion, please refer to the detailed pictures for reference on the condition. Despite this, these are still very much wearable.
Includes shoe inserts :)
Open to offers.
No trades. No meet ups. I do not accept returns. No international shipping. Will be shipped in a replacement box, double boxed, and bagged.",58,https://www.grailed.com/antiyec,https://www.grailed.com/antiyec/feedback,Size: US 8 / EU 41,NA,21
20028491,Jordan Brand,Air Jordan 1 Chicago 1985,11,"$3,500",NA,NA,False,NA, 2 months ,NA,/listings/20028491-jordan-brand-air-jordan-1-chicago-1985,pepeletones,NA,(171),53 ,3 ,"Excellent condition for their age. Grail. Wearable. Shoes are completely original, no restoration has been done. No OG box, will ship with replacement box.
Tagged size 11 but I normally wear 10.5 and these fit absolutely perfect. You usually want to size up half a size with 85’s. Any questions just ask. Open to offers but please no lowballs. I don’t mind keeping these. Thanks for checking out my listing!",440,https://www.grailed.com/pepeletones,https://www.grailed.com/pepeletones/feedback,Size: US 11 / EU 44,NA,8
17287497,Jordan Brand,Air Jordan 1 Chicago 1985,8.5,"$4,000","$2,624",NA,False,6 months,4 months ,34.4%,/listings/17287497-jordan-brand-air-jordan-1-chicago-1985,jirayujaidee,$15,(61),19 ,4 ,"Testing not in rush to sell so don’t send silly offer. I believe that these pairs is the best condition you’ll find in a sz 8.5. Very soft collars, soles are not harden, replacement cream laces.",147,https://www.grailed.com/jirayujaidee,https://www.grailed.com/jirayujaidee/feedback,Size: US 8.5 / EU 41-42,US,8
21200633,Jordan Brand,1985 Jordan 1 “chicago”,10,"$3,000",NA,NA,False,NA,1 day ,NA,/listings/21200633-jordan-brand-1985-jordan-1-chicago,murderarchive,$20,(1855),978 ,719 ,"7/10 condition (refer to photos, still wearable)
Size: 10; Fits true to size, perfect fit.
Absolutely amazing quality per usual, needs no explanation. My favorite pair of Chicago 85s I’ve ever seen, perfect aging and completely wearable.
Don't miss out :)
Instagram @murderarchive",498,https://www.grailed.com/murderarchive,https://www.grailed.com/murderarchive/feedback,Size: US 10 / EU 43,US,12
20676394,Nike,1985 Jordan 1 Chicago’s Og,8.5,"$1,800","$1,700",NA,False,NA,27 days ,5.56%,/listings/20676394-nike-1985-jordan-1-chicago-s-og,Heisenpreme,$10,(103),6 ,39 ,"Original 1985 Jordan 1 Chicago
Size 8.5 men
Used but good condition for being 36 years old",35,https://www.grailed.com/Heisenpreme,https://www.grailed.com/Heisenpreme/feedback,Size: US 8.5 / EU 41-42,US,11
19597735,Jordan Brand,Sky Jordan 1 Og 1985 White Black Varsity Red “chicago”,6,NA,NA,"$1,400",True,NA,Sold 16 days ,NA,/listings/19597735-jordan-brand-sky-jordan-1-og-1985-white-black-varsity-red-chicago,shapeformates,NA,(463),249 ,79 ,"Welcome to Shape For Mates. Subscribe to my page if you wanna cop rare and authentic kicks and apparel.
Extremely rare item:
1985 Sky Jordan 1 High “Chicago”
Designed in the same year as the original Nike Air Jordan 1, the 'Sky' Jordan 1 was the junior line's response to the limited technology resources available in 1985. Nike were unable to develop an air unit in the mid-sole of a junior shoe as it was simply too small and so the Sky Jordan took form.
Far fewer units of the Sky Jordan 1 were produced than the Air Jordan 1, making this important design rarer than the iconic Air Jordan
Size: 6 us
Excellent condition for 35 y.o. pair
Soft collars!
Still wearable!
Without OG box, replacement laces
100% authentic
Worldwide Shipping by national post - 25$ / 14-28 days, sometimes have delays due COVID.
Worldwide Shipping by FedEx/Dhl - 45-65$ / 1-5 business days.
No returns!!!
Lowballs will be ignored
Feel free to contact me with any question. Will help you with anything that I can.",41,https://www.grailed.com/shapeformates,https://www.grailed.com/shapeformates/feedback,Size: US 6 / EU 39,NA,25
20632802,Jordan Brand × Vintage,1985 Air Jordan 1 Chicago Size 7.5,7.5,NA,NA,"$1,375",True,NA,Sold 28 days ,NA,/listings/20632802-jordan-brand-x-vintage-1985-air-jordan-1-chicago-size-7-5,30agram,NA,(80),26 ,10 ,"grail
crunchy collars",5,https://www.grailed.com/30agram,https://www.grailed.com/30agram/feedback,Size: US 7.5 / EU 40-41,NA,9
17256569,Jordan Brand,Air Jordan 1 High 1985 Chicago,10,NA,NA,"$1,500",True,NA,Sold 30 days ,NA,/listings/17256569-jordan-brand-air-jordan-1-high-1985-chicago,TheBanker,NA,(268),93 ,3 ,"1985 Air Jordan 1 ""Chicago""
📏Size: 10US
📦Condition: VERY WORN. (WEARBABLE CONDITION)
-NOT Crunchy around collars.
-Hell Drag
-Scuff on toebox.
-No OG Box.
NOTE: IF YOU ARE NOT PAYPAL READY DO NOT SEND ME A OFFER. Due to people wasting my time and asking unnecessary questions, while sending offers and not paying, I am now forced to have to block you.
-----------------------------------------------------------
🚨$15 FLAT SHIPPING RATE IN THE US🚨
✈ USPS PRIORITY MAIL ✈
📓 TRACKING PROVIDED WITHIN 1 HOUR OF PURCHASE! 📓
❓If you have any questions please feel free to ask. ❓
✅Authenticity is GUARANTEED or your money back.✅",137,https://www.grailed.com/TheBanker,https://www.grailed.com/TheBanker/feedback,Size: US 10 / EU 43,NA,13
