pid,b_name,title,size,og_price,new_price,sold_price,is_sold,old_date,new_date,%p_change,Link,uname,ship_cost,amt_sold,amt_feedback,amt_listings,desc,amt_likes,prf_link,feed_link,size_desc,loc,amt_pics
20291146,Jordan Brand × Nike,Jordan 1 Chicago 1985,8,"$2,000","$1,296",NA,False, 2 months,11 days ,35.2%,/listings/20291146-jordan-brand-x-nike-jordan-1-chicago-1985,antiyec,NA,(44),26 ,7 ,"Jordan 1 1985 Chicago size 8.
These were taken to a cobbler/shoe repairman before working on Jordans/customs was common. The guy really messed them up trying to reinforce everything. There's random stitching, painting, cushioning, and hardening throughout the top portion, please refer to the detailed pictures for reference on the condition. Despite this, these are still very much wearable.
Includes shoe inserts :)
Open to offers.
No trades. No meet ups. I do not accept returns. No international shipping. Will be shipped in a replacement box, double boxed, and bagged.",58,https://www.grailed.com/antiyec,https://www.grailed.com/antiyec/feedback,Size: US 8 / EU 41,NA,21
20028491,Jordan Brand,Air Jordan 1 Chicago 1985,11,"$3,500",NA,NA,False,NA, 2 months ,NA,/listings/20028491-jordan-brand-air-jordan-1-chicago-1985,pepeletones,NA,(171),53 ,3 ,"Excellent condition for their age. Grail. Wearable. Shoes are completely original, no restoration has been done. No OG box, will ship with replacement box.
Tagged size 11 but I normally wear 10.5 and these fit absolutely perfect. You usually want to size up half a size with 85’s. Any questions just ask. Open to offers but please no lowballs. I don’t mind keeping these. Thanks for checking out my listing!",440,https://www.grailed.com/pepeletones,https://www.grailed.com/pepeletones/feedback,Size: US 11 / EU 44,NA,8
17287497,Jordan Brand,Air Jordan 1 Chicago 1985,8.5,"$4,000","$2,624",NA,False,6 months,4 months ,34.4%,/listings/17287497-jordan-brand-air-jordan-1-chicago-1985,,$15,0,0,0,"Testing not in rush to sell so don’t send silly offer. I believe that these pairs is the best condition you’ll find in a sz 8.5. Very soft collars, soles are not harden, replacement cream laces.",0,NA,NA,Size: US 8.5 / EU 41-42,US,8
21200636,Nike,Vintage Nike Air Jordan 1 1985 Chicago,11,"$3,200",NA,NA,False,NA, 5 hours ,NA,/listings/21200636-nike-vintage-nike-air-jordan-1-1985-chicago,Cingra95,$50,(31),8 ,29 ,"1985 Nike Air Jordan 1, Chicago.
=======================
- Size: 11
- Made in Korea
- Super rare in this size and condition.
- 100% wearable.
- Orig box and laces NOT included.
* These have SOFT SOLES.
* The collar ankle foam has been replaced, and the interior has been sewn back up, see photos.
*The worn down Nike tag looks to be touched up.
* They have been cleaned & conditioned.
* Original insoles.
No refunds, no returns, no exchanges.
All sales final.
Guaranteed 100% authentic.
* these shoes are over 36 years old, please wear at your own risk.",1,https://www.grailed.com/Cingra95,https://www.grailed.com/Cingra95/feedback,Size: US 11 / EU 44,US,23
21200633,Jordan Brand,1985 Jordan 1 “chicago”,10,"$3,000",NA,NA,False,NA,1 day ,NA,/listings/21200633-jordan-brand-1985-jordan-1-chicago,murderarchive,$20,(1855),978 ,719 ,"7/10 condition (refer to photos, still wearable)
Size: 10; Fits true to size, perfect fit.
Absolutely amazing quality per usual, needs no explanation. My favorite pair of Chicago 85s I’ve ever seen, perfect aging and completely wearable.
Don't miss out :)
Instagram @murderarchive",498,https://www.grailed.com/murderarchive,https://www.grailed.com/murderarchive/feedback,Size: US 10 / EU 43,US,12
20676394,Nike,1985 Jordan 1 Chicago’s Og,8.5,"$1,800","$1,700",NA,False,NA,27 days ,5.56%,/listings/20676394-nike-1985-jordan-1-chicago-s-og,Heisenpreme,$10,(103),6 ,39 ,"Original 1985 Jordan 1 Chicago
Size 8.5 men
Used but good condition for being 36 years old",35,https://www.grailed.com/Heisenpreme,https://www.grailed.com/Heisenpreme/feedback,Size: US 8.5 / EU 41-42,US,11
17656176,Jordan Brand,Air Jordan 1 Og 1985 Chicago,8,"$3,200",NA,NA,False,NA,6 months ,NA,/listings/17656176-jordan-brand-air-jordan-1-og-1985-chicago,fuckedupclothes,$8,(60),26 ,6 ,OG insoles and white laces No BOX 8.5/10 condition slight drag paint chipping on collars and a few scuffs. Collars are 100% soft,70,https://www.grailed.com/fuckedupclothes,https://www.grailed.com/fuckedupclothes/feedback,Size: US 8 / EU 41,US,10
15868506,Jordan Brand × Nike × Vintage,1985 Jordan 1 Chicago Size 9 (sold),9,"$5,500",NA,NA,False,NA,8 months ,NA,/listings/15868506-jordan-brand-x-nike-x-vintage-1985-jordan-1-chicago-size-9-sold,shopstockist,NA,(45),38 ,2 ,"SOLD
1985 Jordan 1 Chicago in a size 9. These are in immaculate condition as they have only been worn 2-3 times in their life. Majority of the stars in the toe are visible as well as minimal to no heel drag. They come with original laces and insole. The original box is NOT included. Please judge the condition based on the pictures provided. If you have questions, please feel free to ask or visit my IG: curatedstockist",231,https://www.grailed.com/shopstockist,https://www.grailed.com/shopstockist/feedback,Size: US 9 / EU 42,NA,8
16790934,Nike × Vintage,1985 Nike Jordan Chicago 1 T Shirt Pocket Spellout,l,$420,NA,NA,False,NA,7 months ,NA,/listings/16790934-nike-x-vintage-1985-nike-jordan-chicago-1-t-shirt-pocket-spellout,vintagehunter34,NA,(60),0,1 ,"Very rare item.
I believe its from 90s based on gray tag.",15,https://www.grailed.com/vintagehunter34,https://www.grailed.com/vintagehunter34,Size: US L / EU 52-54 / 3,NA,6
20514920,Amac,⚠️last Drop⚠️ Amac Customs 1985 Butterfly High Chicago,7.5,$600,$437,NA,False, 1 month,14 days ,27.17%,/listings/20514920-amac-last-drop-amac-customs-1985-butterfly-high-chicago,Hassanpharoaahh,$8,(37),19 ,17 ,"These brand new shoes feature tumbled leather.. stitch detailed butterfly swoosh and that perfect new shoes smell. Brand new never worn... box has been opened.. comes with original box, dust bag, and sticker.",17,https://www.grailed.com/Hassanpharoaahh,https://www.grailed.com/Hassanpharoaahh/feedback,Size: US 7.5 / EU 40-41,US,11
