pid,b_name,title,size,og_price,new_price,sold_price,is_sold,old_date,new_date,%p_change,Link,uname,ship_cost,amt_sold,amt_feedback,amt_listings,desc,amt_likes,prf_link,feed_link,size_desc,loc,amt_pics
20932702,Jordan Brand,Jordan 1 1985 Neutral Grey Us10.5,10.5,"$4,700",NA,NA,False,NA,19 days ,NA,/listings/20932702-jordan-brand-jordan-1-1985-neutral-grey-us10-5,lucamarv,NA,(42),10 ,8 ,"Amazing Condition, fully wearable.
Collars still soft in most areas, soles fully wearable, have aged to a beautiful cream color (many stars visible) with OG laces.
Leather soft and pliable (has been well taken care of)
Tagged a size 10.5, fits ~0.5 smaller.
@lucamarv",37,https://www.grailed.com/lucamarv,https://www.grailed.com/lucamarv/feedback,Size: US 10.5 / EU 43-44,NA,11
16240476,Jordan Brand × Nike × Vintage,1985 Neutral Grey,8.5,"$1,500",$650,NA,False,8 months,3 months ,56.67%,/listings/16240476-jordan-brand-x-nike-x-vintage-1985-neutral-grey,sk01,NA,(43),8 ,53 ,"Model: Convention
Colour: White/Neutral Grey
Year: 1985
Size: 8.5
Preowned with signs of usage. One midsole was repainted. Wear at your own risk, the gems are 40+ years old. Buyer is purchasing as-is condition.
No og box or laces. Cop some cream laces and slap them on!
If you have any questions, lmk!",90,https://www.grailed.com/sk01,https://www.grailed.com/sk01/feedback,Size: US 8.5 / EU 41-42,NA,9
18611476,Nike,Vintage 1986 Nike Team Convention Neutral Grey,8.5,$400,$360,NA,False,4 months,3 months ,10.0%,/listings/18611476-nike-vintage-1986-nike-team-convention-neutral-grey,Sadvillainy,$35,(35),3 ,1 ,"Neutral Grey Nike Team convention from 1986!
Cheaper alternative to those neutral grey 1’s!
These vintage shoes are in super crazy condition for being 30+ years old. There is minimal wear on them, with the soles being fully intact and fully wearable. There’s not a lot of yellowing and the only flaws are a few dirt marks and one of the lace holes is cut(look at last photo), but if you wrap the laces around the back it should be no problem!
*I’ll clean the dirt off the shoes before sending!
Tagged as a women’s size 10 and fit me perfectly! I wear an 8.5-9 in other Nikes and Vans!
US SHIPPING ONLY!
Message me with offers. Low ballers will be blocked.",99,https://www.grailed.com/Sadvillainy,https://www.grailed.com/Sadvillainy/feedback,Size: US 8.5 / EU 41-42,Canada,8
19835846,Vintage,1984 Nike Sky Force Neutral Grey,8.5,NA,NA,$240,True,NA,Sold 2 months ,NA,/listings/19835846-vintage-1984-nike-sky-force-neutral-grey,withdnl,NA,(62),36 ,4 ,"Size 8.5 fits 8-8.5
Very good condition for this age, best pair of this silhouette tbh - No box
Sole protector applied on the heels for drag prevention
Great alternative to Neutral Grey Jordan 1’s, if you feel your L already
Any questions dm me !",11,https://www.grailed.com/withdnl,https://www.grailed.com/withdnl/feedback,Size: US 8.5 / EU 41-42,NA,3
19343393,Nike × Vintage,Vintage 1983 Nike Neutral Grey 80s Jordan 1 Dunk Sneakers,9,NA,NA,$65,True,NA,Sold 2 months ,NA,/listings/19343393-nike-x-vintage-vintage-1983-nike-neutral-grey-80s-jordan-1-dunk-sneakers,WestDistrict,NA,(151),72 ,21 ,"*Letting these go for a steal!*😤
Vintage Nike Neutral Grey suede sneakers from 1983! / Gum bottoms🔥🔥🔥
Men’s US 9
Great condition and still 100% wearable!
(Nike logo missing on other tongue)",13,https://www.grailed.com/WestDistrict,https://www.grailed.com/WestDistrict/feedback,Size: US 9 / EU 42,NA,7
19739085,Nike × Vintage,Nike Air Jordan 1 1985 Og Neutral Grey 10,10,NA,NA,"$1,600",True,NA,Sold 3 months ,NA,/listings/19739085-nike-x-vintage-nike-air-jordan-1-1985-og-neutral-grey-10,raydvalle,NA,(855),505 ,5 ,"Does not come with original box
In good condition given the age of shoe. Still wearable.
100% Authentic
US MENS SIZE 10
White/Neutral Grey Colorway",8,https://www.grailed.com/raydvalle,https://www.grailed.com/raydvalle/feedback,Size: US 10 / EU 43,NA,12
18389037,Jordan Brand,Air Jordan 1 Og 1985 Neutral Grey,10,NA,NA,"$2,030",True,NA,Sold 4 months ,NA,/listings/18389037-jordan-brand-air-jordan-1-og-1985-neutral-grey,camrondingo,NA,(146),66 ,0 ,"-Best pair of 1985 Jordan 1 neutral greys I have seen
- restored by the best in the game a1restorations
- repainted slightly, and sole swapped
-size 10
-collars and leather still super soft
- original laces
- replaced insole
-message any questions
-quick shipping",31,https://www.grailed.com/camrondingo,https://www.grailed.com/camrondingo/feedback,Size: US 10 / EU 43,NA,11
18116089,Collegium,Collegium Pillar Destroyer High- Platinum Suede,8,NA,NA,$257,True,NA,Sold 5 months ,NA,/listings/18116089-collegium-collegium-pillar-destroyer-high-platinum-suede,JJJJDOOM,NA,(291),187 ,0 ,"Worn once, pictures describe its condition, always 100% authentic, ready to be shipped! *any accounts with no feedback recieve signature tracking*",7,https://www.grailed.com/JJJJDOOM,https://www.grailed.com/JJJJDOOM/feedback,Size: US 8 / EU 41,NA,14
17417880,Fugazi,One In The Chamber Jordan 1,10,NA,NA,$825,True,NA,Sold 6 months ,NA,/listings/17417880-fugazi-one-in-the-chamber-jordan-1,thots,NA,(63),20 ,6 ,"fugazi one in the chamber jordan 1
gunmetal grey
by trevor gorji
size: 10
if you are a 1/2 size then size up
deadstock, og all
box slightly damaged
everything else is perfect tho
comes with:
- extra grey laces
- extra bullet aglets (more in pouch)
- dust bag, aglet pouch, laces bag
message if you have any questions
message if international
feel free to message for any questions
no trades
no returns/refunds
check out my other listings",60,https://www.grailed.com/thots,https://www.grailed.com/thots/feedback,Size: US 10 / EU 43,NA,17
15715807,Jordan Brand × Nike,Air Jordan 1 Retro High Og Neutral Grey 2019,10.5,NA,NA,$250,True,NA,Sold 6 months ,NA,/listings/15715807-jordan-brand-x-nike-air-jordan-1-retro-high-og-neutral-grey-2019,terrellj86,NA,(199),82 ,22 ,"Barely worn, in great condition
Comes with extra neon orange laces and original box
Sz 10.5
Trusted seller!",53,https://www.grailed.com/terrellj86,https://www.grailed.com/terrellj86/feedback,Size: US 10.5 / EU 43-44,NA,9
