pid,b_name,title,size,og_price,new_price,sold_price,is_sold,old_date,new_date,%p_change,Link,uname,ship_cost,amt_sold,amt_feedback,amt_listings,desc,amt_likes,prf_link,feed_link,size_desc,loc,amt_pics
21135069,Jordan Brand,Jordan 1 Neutral Grey,13,$500,NA,NA,False,NA,5 days ,NA,/listings/21135069-jordan-brand-jordan-1-neutral-grey,Bstsole,NA,(375),75 ,24 ,"Brand new size 13
Og all
Price is firm
No trades",24,https://www.grailed.com/Bstsole,https://www.grailed.com/Bstsole/feedback,Size: US 13 / EU 46,NA,10
20352391,Jordan Brand,Jordan 1 Neutral Grey Hyper Crimson,9,$525,NA,NA,False,NA, 1 month ,NA,/listings/20352391-jordan-brand-jordan-1-neutral-grey-hyper-crimson,ripose,$25,(5),5 ,14 ,"New, never worn",5,https://www.grailed.com/ripose,https://www.grailed.com/ripose/feedback,Size: US 9 / EU 42,Canada,9
18085196,HIDDEN × Nike,Nike Big Low Hidden Jordan 1 Neutral Grey Us9.5,9.5,$350,$315,NA,False,5 months,4 months ,10.0%,/listings/18085196-hidden-x-nike-nike-big-low-hidden-jordan-1-neutral-grey-us9-5,lookin4troubl,$50,(142),75 ,10 ,"Nike Big Low
Color: White / Wolf Grey
Size: US9.5
These are dope and a great alternative for the Jordan 1 Neutral Grey Low
Worn a couple of times. Rare color way and size!
No box
Message me if you have an offer
All items I sell are 100% Authentic
Message me if you have any questions or concerns.
Don't forget to check out my other items.
Very appreciated right now, these looks just like the Dior Air Jordan but even better!
#virgilabloh #sneakers #offwhite #airmax
HIDDEN Supreme palace Kanye west ASAP rocky Lil uzi vert arcteryx jordan Nike air vintage Jerry Lorenzo essentials jjjjound visvim kapital adidas Airmax air force helmet Lang undercover white mountaineering Reebok suicoke 1985 stone island slums e saint Laurent acne studio engineered garments Norse project beams Nike dunk low maison margiela apc John Elliott akira Gucci needles palm angels aime Léon doré bape our legacy Tupac biggie bone thugs and harmony rap tee movies tee vintage tee vêtements",134,https://www.grailed.com/lookin4troubl,https://www.grailed.com/lookin4troubl/feedback,Size: US 9.5 / EU 42-43,Europe,8
18052503,Jordan Brand,Air Jordan 1 Neutral Grey,5.5,$400,NA,NA,False,NA,5 months ,NA,/listings/18052503-jordan-brand-air-jordan-1-neutral-grey,TerrestrialCargo,$8,(17),11 ,63 ,BRAND NEW,17,https://www.grailed.com/TerrestrialCargo,https://www.grailed.com/TerrestrialCargo/feedback,Size: US 5.5 / EU 38,US,5
9395691,Jordan Brand × Nike,Air Jordan 1 Neutral Grey,13,$170,NA,NA,False,NA,almost 2 years ,NA,/listings/9395691-jordan-brand-x-nike-air-jordan-1-neutral-grey,CZzrR20,NA,(1),0,1 ,Im trying to save up for my wedding,38,https://www.grailed.com/CZzrR20,https://www.grailed.com/CZzrR20,Size: US 13 / EU 46,NA,4
8476988,Jordan Brand × Nike,Nike Air Jordan 1 Neutral Grey,13,$235,NA,NA,False,NA, 2 years ,NA,/listings/8476988-jordan-brand-x-nike-nike-air-jordan-1-neutral-grey,219fosauce,NA,(0),0,3 ,"Brand New!!
Purchase from the SNKRS",26,https://www.grailed.com/219fosauce,https://www.grailed.com/219fosauce,Size: US 13 / EU 46,NA,4
8164670,Jordan Brand,Air Jordan 1 Neutral Grey/crimson,12,$230,NA,NA,False,NA, 2 years ,NA,/listings/8164670-jordan-brand-air-jordan-1-neutral-grey-crimson,laudantium_sit_ares,NA,(0),0,1 ,Deadstock. Never worn or tried on. Size 12. No returns unless a really good reason.,10,https://www.grailed.com/laudantium_sit_ares,https://www.grailed.com/laudantium_sit_ares,Size: US 12 / EU 45,NA,7
21155107,Jordan Brand × Nike,Air Jordan 1 High Co Jp Neural Grey Tokyo Size 10.5,10.5,NA,NA,$190,True,NA,Sold  7 hours ,NA,/listings/21155107-jordan-brand-x-nike-air-jordan-1-high-co-jp-neural-grey-tokyo-size-10-5,carlosbarron96,NA,(45),12 ,12 ,"I’m selling a pair of Ds Air jordan 1 high co jp neural grey Tokyo. size 10.5 purchase from goat. Let me know if you have any questions, Thanks",1,https://www.grailed.com/carlosbarron96,https://www.grailed.com/carlosbarron96/feedback,Size: US 10.5 / EU 43-44,NA,8
20315397,Fugazi,Fugazi 1 “one In The Chamber” Neutral Grey,11,NA,NA,$500,True,NA,Sold 1 day ,NA,/listings/20315397-fugazi-fugazi-1-one-in-the-chamber-neutral-grey,sean_jpeg,NA,(83),32 ,8 ,"Yes. Drake just wore these... and that’s why you’re here.
——
Worn 2x
Can’t get the Jordan 1’s?
Grab these!
Hardly Worn.
Neutrals going up daily.",120,https://www.grailed.com/sean_jpeg,https://www.grailed.com/sean_jpeg/feedback,Size: US 11 / EU 44,NA,7
20190498,Jordan Brand,Air Jordan 1 Retro High Og Neutral Grey 2019,10.5,NA,NA,$198,True,NA,Sold 2 days ,NA,/listings/20190498-jordan-brand-air-jordan-1-retro-high-og-neutral-grey-2019,pepelazaro,NA,(252),106 ,27 ,"Used pair of the Hyper Crimson Jordan 1’s size 10.5, pretty slept on release in the beginning not gonna lie! But these have definitely grown on me! Black & grey you cannot go wrong, the nice sude & leather really compliment each other. I’d say 8.5/10 condition, but judge condition on your own based on photos provided. No box! Wearing with shorts is my personal favorite but the possibilities are endless.
Send offers but don’t be a bozo!!!!",72,https://www.grailed.com/pepelazaro,https://www.grailed.com/pepelazaro/feedback,Size: US 10.5 / EU 43-44,NA,12
20215834,Jordan Brand,Air Jordan 1 '85 Neutral Grey,13,NA,NA,$440,True,NA,Sold 3 days ,NA,/listings/20215834-jordan-brand-air-jordan-1-85-neutral-grey,andikanotu,NA,(13),3 ,9 ,"With so many outstanding releases already in the books, the Air Jordan 1 – in its various forms, will once again be a top prize of the year. Undoubtedly high on the list of must-haves is the Air Jordan 1 Hi ’85 “Neutral Grey”, Jordan Brand’s true-to-the-original remake of the white/grey pairing that first landed in stores back in 1985. The Hi ’85 trim was first introduced in February of 2020 as part of the New Beginnings Pack as Jordan Brand unleashed its most accurate rendition of the globally popular sneaker, but the Neutral Grey marks the first such release of an original colorway.",34,https://www.grailed.com/andikanotu,https://www.grailed.com/andikanotu/feedback,Size: US 13 / EU 46,NA,11
20586984,Jordan Brand × Nike,Jordan 1 Japan Neutral Gray Anniversary Sz 5.5y Neww/defects,5.5,NA,NA,$237,True,NA,Sold 4 days ,NA,/listings/20586984-jordan-brand-x-nike-jordan-1-japan-neutral-gray-anniversary-sz-5-5y-neww-defects,ExchangedHype,NA,(271),147 ,5 ,"🔹Background🔹
[We have been in the reselling industry for 5 years providing streetwear and shoes for the community that evolves around us. We sell everything from Toys, Cards, Supreme, Jordans , Nikes, and Adidas. Customers are important to us and we make sure to provide the best service we can when selling shoes to anyone. I appreciate you all and will try to get as much inventory we can handle while providing the best products/service we can.]
All items We sell are 100% Authentic.
Everything sold is thoroughly checked and made sure authentic before being listed such as checking for any flaws, stitching being off , box labels, size labels etc. After everything the shoe is black lighted to make sure no factory stamps are shown and to make sure the stitching is right.
Condition
🟪Any flaws will be pointed out if they’re are any with specifics.
(Ex: a scratch, manufacture glue residue, missing laces or accessories, heel drag, or any creases.)
NO RETURNS buyer has seen all flaws (If Any are stated) before buying in the description provided
[Information and Condition of the shoe]
Size- 5.5Y/7W
Condition- 9/10 (new w/defects)
Flaws- glue marks throughout the shoe, small Markings.
Doesn’t effect the wear of the shoe.
Offers 📊
⚫️Due to fees on platforms we might be slightly flexible on most of our items.
⚫️Most of the items are up to offer, send us your best offer and we will counter with our lowest and will try to work with you.
⚫️Items are up to market and we try to be fair with our pricing.
Shipping 📦
⚫️If items are bought for listing price we will try to have them packed and shipped within 1-3 business days.
🟧All packages are packed with care, and shipped fast. If any problems with tracking please reach out to us. If a package is lost through the postal service, contact them first then contact us for we can find a answer to the problem. That being said as soon as we confirm shipment and provide tracking the postal service is at fault if anything gets damaged or lost in transit.
⚠️Warning: Any Shoe that is 10 years or older, I recommend it’s not for wear and if you do wear them there is a high chance that the shoe will fall apart and “break”. Overall buy older retros/shoes at your own risk. We are not liable if an older shoe is messed up when being worn.
❇️Follow us for the actual storefront/Instagram @exchanged.hype
🔷Thank you for your business and please leave us feedback as soon as you receive the item.
- Efrain Gonzalez.",13,https://www.grailed.com/ExchangedHype,https://www.grailed.com/ExchangedHype/feedback,Size: US 5.5 / EU 38,NA,11
20839161,Fugazi,Fugazi One In The Chamber Jordan 1 Gunmetal Grey Sz 8,8,NA,NA,$372,True,NA,Sold 5 days ,NA,/listings/20839161-fugazi-fugazi-one-in-the-chamber-jordan-1-gunmetal-grey-sz-8,sanctionedpieces,NA,(74),53 ,17 ,"Brand new, 100% Deadstock.
Very limited, rare, and sold out.
Feel free to ask me any questions!
In-hand, ships immediately.",46,https://www.grailed.com/sanctionedpieces,https://www.grailed.com/sanctionedpieces/feedback,Size: US 8 / EU 41,NA,12
20442380,Nike,Air Jordan 1 Retro High ‘85 Og ‘neutral Grey’,11.5,NA,NA,$550,True,NA,Sold 5 days ,NA,/listings/20442380-nike-air-jordan-1-retro-high-85-og-neutral-grey,fbgdrew,NA,(6),0,16 ,Nike SNRKS Drop Date 2/10/2021,43,https://www.grailed.com/fbgdrew,https://www.grailed.com/fbgdrew,Size: US 11.5 / EU 44-45,NA,13
