pid,b_name,title,size,og_price,new_price,sold_price,is_sold,old_date,new_date,%p_change,Link,uname,ship_cost,amt_sold,amt_feedback,amt_listings,desc,amt_likes,prf_link,feed_link,size_desc,loc,amt_pics
20932702,Jordan Brand,Jordan 1 1985 Neutral Grey Us10.5,10.5,"$4,700",NA,NA,False,NA,18 days ,NA,/listings/20932702-jordan-brand-jordan-1-1985-neutral-grey-us10-5,lucamarv,NA,(42),10 ,8 ,NA,36,https://www.grailed.com/lucamarv,https://www.grailed.com/lucamarv/feedback,Size: US 10.5 / EU 43-44,NA,11
16240476,Jordan Brand × Nike × Vintage,1985 Neutral Grey,8.5,"$1,500",$650,NA,False,8 months,3 months ,56.67%,/listings/16240476-jordan-brand-x-nike-x-vintage-1985-neutral-grey,sk01,NA,(43),8 ,53 ,NA,90,https://www.grailed.com/sk01,https://www.grailed.com/sk01/feedback,Size: US 8.5 / EU 41-42,NA,9
18387884,Nike,Vintage Nike Legend High Natural Grey 1981,7.5,$450,$237,NA,False,5 months,3 days ,47.33%,/listings/18387884-nike-vintage-nike-legend-high-natural-grey-1981,michael-s,$40,(74),6 ,6 ,NA,33,https://www.grailed.com/michael-s,https://www.grailed.com/michael-s/feedback,Size: US 7.5 / EU 40-41,US,6
18611476,Nike,Vintage 1986 Nike Team Convention Neutral Grey,8.5,$400,$360,NA,False,4 months,3 months ,10.0%,/listings/18611476-nike-vintage-1986-nike-team-convention-neutral-grey,Sadvillainy,$35,(35),3 ,1 ,NA,99,https://www.grailed.com/Sadvillainy,https://www.grailed.com/Sadvillainy/feedback,Size: US 8.5 / EU 41-42,Canada,8
19343393,Nike × Vintage,Vintage 1983 Nike Neutral Grey 80s Jordan 1 Dunk Sneakers,9,NA,NA,$65,True,NA,Sold 2 months ,NA,/listings/19343393-nike-x-vintage-vintage-1983-nike-neutral-grey-80s-jordan-1-dunk-sneakers,WestDistrict,NA,(151),71 ,21 ,NA,13,https://www.grailed.com/WestDistrict,https://www.grailed.com/WestDistrict/feedback,Size: US 9 / EU 42,NA,7
19739085,Nike × Vintage,Nike Air Jordan 1 1985 Og Neutral Grey 10,10,NA,NA,"$1,600",True,NA,Sold 2 months ,NA,/listings/19739085-nike-x-vintage-nike-air-jordan-1-1985-og-neutral-grey-10,raydvalle,NA,(855),505 ,5 ,NA,8,https://www.grailed.com/raydvalle,https://www.grailed.com/raydvalle/feedback,Size: US 10 / EU 43,NA,12
18389037,Jordan Brand,Air Jordan 1 Og 1985 Neutral Grey,10,NA,NA,"$2,030",True,NA,Sold 4 months ,NA,/listings/18389037-jordan-brand-air-jordan-1-og-1985-neutral-grey,camrondingo,NA,(146),66 ,0 ,NA,31,https://www.grailed.com/camrondingo,https://www.grailed.com/camrondingo/feedback,Size: US 10 / EU 43,NA,11
18116089,Collegium,Collegium Pillar Destroyer High- Platinum Suede,8,NA,NA,$257,True,NA,Sold 5 months ,NA,/listings/18116089-collegium-collegium-pillar-destroyer-high-platinum-suede,JJJJDOOM,NA,(291),187 ,0 ,NA,7,https://www.grailed.com/JJJJDOOM,https://www.grailed.com/JJJJDOOM/feedback,Size: US 8 / EU 41,NA,14
15715807,Jordan Brand × Nike,Air Jordan 1 Retro High Og Neutral Grey 2019,10.5,NA,NA,$250,True,NA,Sold 6 months ,NA,/listings/15715807-jordan-brand-x-nike-air-jordan-1-retro-high-og-neutral-grey-2019,terrellj86,NA,(199),82 ,22 ,NA,53,https://www.grailed.com/terrellj86,https://www.grailed.com/terrellj86/feedback,Size: US 10.5 / EU 43-44,NA,9
16642065,Jordan Brand,1985 Jordan 1 Neutral Grey,11.5,NA,NA,"$1,350",True,NA,Sold 7 months ,NA,/listings/16642065-jordan-brand-1985-jordan-1-neutral-grey,PoloOnMeLottaHorsepower,NA,(178),56 ,4 ,NA,104,https://www.grailed.com/PoloOnMeLottaHorsepower,https://www.grailed.com/PoloOnMeLottaHorsepower/feedback,Size: US 11.5 / EU 44-45,NA,15
15060459,Nike × Vintage,*grail* 1984 Pre-jordan 1 Sample Natural/neutral Grey 9.5 Us,9.5,NA,NA,"$1,580",True,NA,Sold 7 months ,NA,/listings/15060459-nike-x-vintage-grail-1984-pre-jordan-1-sample-natural-neutral-grey-9-5-us,timoh,NA,(258),169 ,47 ,NA,154,https://www.grailed.com/timoh,https://www.grailed.com/timoh/feedback,Size: US 9.5 / EU 42-43,NA,8
