pid,b_name,title,size,og_price,new_price,sold_price,is_sold,old_date,new_date,%p_change,Link,uname,ship_cost,amt_sold,amt_feedback,amt_listings,desc,amt_likes,prf_link,feed_link,size_desc,loc,amt_pics
20794999,Kapital × Kapital Kountry,Kapital Boro Denim Pants,32,$580,$520,NA,False,21 days,14 days ,10.34%,/listings/20794999-kapital-x-kapital-kountry-kapital-boro-denim-pants,jordenwilliams,$15,(143),61 ,10 ,"Lightly Worn, check photos for details!",97,https://www.grailed.com/jordenwilliams,https://www.grailed.com/jordenwilliams/feedback,Size: US 32 / EU 48,US,13
20386394,Kapital × Kapital Kountry × Louis Vuitton,Kapital Boro Denim Jacket Aw2013 (og Lv X Kapital Vers.),m,"$2,600",NA,NA,False,NA, 1 month ,NA,/listings/20386394-kapital-x-kapital-kountry-x-louis-vuitton-kapital-boro-denim-jacket-aw2013-og-lv-x-kapital-vers,myworstfits,$10,(60),28 ,2 ,"Size 48, Fits Medium
this is from the first production run back in 2013 in collaboration with LV. this version features the bootleg levis tab.
features different patterns of denim and cotton twills
Cut and sewn in 🇯🇵
——
Although Toshikiyo’s obsession lies with denim and this remains as the brand’s core, it isn’t the only thing they specialize in. Ever since Kiro joined, Kapital have taken a turn for the better, the brand has expanded into other spaces; experimenting with dyes (natural and synthetic), cut & sewed garments, hand overstitching, as well as much more including the incorporation of Kiro’s obsession, bandanas! He says “for me personally, jeans and bandanas are both essential items when talking about work-wear… In my generation I want to put as much passion into bandanas as my father put into jeans”.
Kapital is a humble brand with passionate founders. They aren’t worried about expanding globally too quickly or compromising their principals, as long as they remain faithful to their work the natural progression of their brand will come with it along the way.
any questions? dm me @myworstfits",149,https://www.grailed.com/myworstfits,https://www.grailed.com/myworstfits/feedback,Size: US M / EU 48-50 / 2,US,6
19710175,Kapital,Kapital Boro Denim Cap,os,$250,NA,NA,False,2 months, 2 months ,NA,/listings/19710175-kapital-kapital-boro-denim-cap,items4everyone,$20,(49),39 ,613 ,"little usability, a little rubbing, and pills on the logo
Inner diameter: Approximately 56cm
865",2,https://www.grailed.com/items4everyone,https://www.grailed.com/items4everyone/feedback,Size: ONE SIZE,Asia,7
19705439,Kapital,Kapital Boro Denim Trousers,31,$280,$240,NA,False,2 months,2 months ,14.29%,/listings/19705439-kapital-kapital-boro-denim-trousers,vvouttahere,$37,(16),5 ,5 ,"Kapital Boro Patch Denim Trouser
Beautiful fading, famous Kapital distressing, honeycomb fade, patching, sewing, oil stains, 5 pockets, Kapital Tags
Tagged 31, fits 30-31
Great condition, distressing is on purpose!
—————————————————
Just selling personal pieces that I don’t wear anymore.
Please don’t hesitate to ask for measurements, additional pictures etc.
Open for offers, but don’t be ridiculous.
My prices are already quite low.
You’re responsible for any additional fees.
No returns.
Authenticity guaranteed, if not you’ll get your money back.",50,https://www.grailed.com/vvouttahere,https://www.grailed.com/vvouttahere/feedback,Size: US 31,Europe,9
18545074,Kapital × Kapital Kountry,Kapital Boro Denims,28,$550,$356,NA,False,4 months,2 months ,35.27%,/listings/18545074-kapital-x-kapital-kountry-kapital-boro-denims,kapitaloved,$15,(184),115 ,98 ,Tagged size 30,42,https://www.grailed.com/kapitaloved,https://www.grailed.com/kapitaloved/feedback,Size: US 28 / EU 44,Asia,11
14975912,Distressed Denim × Japanese Brand,Nicole Club For Men Kapital Boro Style Denim Pants,31,$219,$143,NA,False,10 months,29 days ,34.7%,/listings/14975912-distressed-denim-x-japanese-brand-nicole-club-for-men-kapital-boro-style-denim-pants,monarchy,NA,(279),147 ,741 ,"Please read all the description carefully before purchase..
Size on Tag : Medium
Tag : Nicole For Men
Waist : 15.5"" inches
Front rise : 9"" inches
Back rise : 13.5"" inches
Upper thight : 11"" inches
Knee part : 7.5"" inches
Outseam : 43"" inches
Inseam : 33"" inches
Leg opening : 8"" inches
Defect : None
Meterial : 100% Cotton
Made in : China
PAYMENT And SHIPPING
■Accept ""PAYPAL"" Only
■This item will be ship along with Tracking Number after received a completed payment.
■PLEASE LEAVE YOUR PHONE NUMBER DURING PURCHASES. PHONE NUMBER REQUIRED FOR DELIVERED PROSESS.
Dear valued customer:
●All Measurements were been measured flat on the floor.
●Please don't expect this item condition is 100% like new unless I have mention it.
●Please do not hesitate to contact me if you have any inquiries.Its my great pleasure to have a conversation with customers.
ATTENTION :
Please pay close attention to measurements provided.
Do not rely on tag size as pre-worn items may have been altered, stretched or shrunk & vintage sizes do not directly translate the modern sizes.The best way to ensure a correct fit is to compare our measurements with the measurements of a similar item that you know fits you well.Please enlarge the photos for clearer image.
** Please be inform that ALL SALES ARE FINAL, NO RETURNS
THANK YOU VERY MUCH FOR YOUR VISIT AND SHOPPING WITH CONFIDENT.",3,https://www.grailed.com/monarchy,https://www.grailed.com/monarchy/feedback,Size: US 31,NA,13
20085362,Kapital × Kapital Kountry,Kapital Boro Distressed Denim,27,$275,NA,NA,False,NA, 2 months ,NA,/listings/20085362-kapital-x-kapital-kountry-kapital-boro-distressed-denim,barhainearchive,$25,(7),1 ,14 ,"A pair of 5 pocket off white colour jeans from Kapital Kountry. These have different types of distressing all over, aswell as some patchwork and sashiko stitching.
Condition: 9/10
Measurements:
marked as size 1/small
waist 27.5 inches
inseam 28.5 inches
outseam 38 inches
leg opening 7 inches
Please message any questions or offers.",14,https://www.grailed.com/barhainearchive,https://www.grailed.com/barhainearchive/feedback,Size: US 27,UK,5
16724044,Kapital,Kapital Redux Boro Denim,29,NA,NA,$670,True,NA,Sold  8 hours ,NA,/listings/16724044-kapital-kapital-redux-boro-denim,henryso567,NA,(9),0,1 ,"Condition 8/10
SIZE 2
Waist 79CM
Rise 34CM
Inseam 70CM
Hip 106CM
Thigh width 32CM
Hem width 19CM",63,https://www.grailed.com/henryso567,https://www.grailed.com/henryso567,Size: US 29,NA,7
21124679,Kapital × Kapital Kountry,Kapital Kountry ‘boro’ Denim Bucket Hat,os,NA,NA,$280,True,NA,Sold  22 hours ,NA,/listings/21124679-kapital-x-kapital-kountry-kapital-kountry-boro-denim-bucket-hat,jstnvntg,NA,(73),15 ,25 ,"Worn twice, excellent condition
Beautiful piece from kapital 🌱",51,https://www.grailed.com/jstnvntg,https://www.grailed.com/jstnvntg/feedback,Size: ONE SIZE,NA,4
20672816,Kapital × Kapital Kountry,24 Hour Sale Kapital Boro Denim,32,NA,NA,$308,True,NA,Sold 1 day ,NA,/listings/20672816-kapital-x-kapital-kountry-24-hour-sale-kapital-boro-denim,subtlechanges,NA,(15),5 ,2 ,"Kapital Boro Denim
Tagged size 32 but fits more like 30-31
Feel free to negotiate prices",55,https://www.grailed.com/subtlechanges,https://www.grailed.com/subtlechanges/feedback,Size: US 32 / EU 48,NA,5
