pid,b_name,title,size,og_price,new_price,sold_price,is_sold,old_date,new_date,%p_change,Link,uname,ship_cost,amt_sold,amt_feedback,amt_listings,desc,amt_likes,prf_link,feed_link,size_desc,loc,amt_pics
20714001,Indigo × Japanese Traditional × Kimono Japan Dragon,💥delete Today💥kapital Boro Kimono Overdyed Japan Traditional,l,$500,$327,NA,False,25 days, 4 hours ,34.6%,/listings/20714001-indigo-x-japanese-traditional-x-kimono-japan-dragon-delete-today-kapital-boro-kimono-overdyed-japan-traditional,cb_7clothing,$10,(240),116 ,678 ,"Tag : Unbrand (Indigo)
Body Length : 35 ""inches
Witdh : 24 ""inches
Sleeve Length : 25 ""inches
Sleeve Length 2 : 11 ""inches
Condition : Good Conditions..(Used Clothing)
Payment method via PayPal only.
No cancellation allowed after made the payment.
No refund/return allowed. All purchase is final. Will be shipped same day or day after purchase
Additional Policies and FAQ:
Pls read all the description before buying. This is pre-owned/used authentic collections, so very tiny flaws are common.
Item is stored in a dust-free, smoke-free, and hygienic environment.
We guarantee satisfaction and authenticity.
As usual, I'm more than happy to entertain offers so fire away. Also, I can discount for multiple purchases.
I'm more than happy to provide any additional information or answer any questions.",11,https://www.grailed.com/cb_7clothing,https://www.grailed.com/cb_7clothing/feedback,Size: US L / EU 52-54 / 3,Asia,9
21214291,Kapital,Kapital Boro Nylon Little Bag,os,$230,NA,NA,False,NA, 12 hours ,NA,/listings/21214291-kapital-kapital-boro-nylon-little-bag,SunmanOO,$20,(140),83 ,389 ,"Condition: Brand new condition
100% authentic
Ship to every country, ship from Japan.
Ship within 3 business days , delivery about 3-7 days .
No returns
Thank you！",1,https://www.grailed.com/SunmanOO,https://www.grailed.com/SunmanOO/feedback,Size: ONE SIZE,Asia,8
21058618,Kapital × Kapital Kountry,Kapital Boro Spring 1st Jacket (xl),xl,"$2,000","$1,800",NA,False,8 days, 21 hours ,10.0%,/listings/21058618-kapital-x-kapital-kountry-kapital-boro-spring-1st-jacket-xl,tipamoose,NA,(145),92 ,35 ,"A 1ST jacket using the original fabric ""BORO"" that reproduces the 褤 褸 with KAPITAL's processing technology. The lining of the conventional ""BORO 1ST JKT"" is made of rayon fabric with 褤 褸 printed on it, making it light and unique as a light outerwear.
* Please note that there are individual differences in the placement of the fabric.
* This product uses IDG dye. Color may adhere to other clothing when worn.
* This product is pre-processed. Tear or damage due to processing is the intention of the design, not a product defect. In addition, since it expresses changes due to aging, weakness may be seen in the fabric.
90% cotton 10% hemp
Back rayon 100%
100% acetate on the back of the sleeve
shipping from japan! 100% authentic and deadstock.
The holy grail of my collection!
see the measurements and sizing in the photos.
I have a size Large and XL so hmu for any details.",55,https://www.grailed.com/tipamoose,https://www.grailed.com/tipamoose/feedback,Size: US XL / EU 56 / 4,NA,9
21058579,Kapital × Kapital Kountry,Kapital Boro Spring 1st Jacket (l),l,"$2,000","$1,800",NA,False,8 days, 21 hours ,10.0%,/listings/21058579-kapital-x-kapital-kountry-kapital-boro-spring-1st-jacket-l,tipamoose,NA,(145),92 ,35 ,"A 1ST jacket using the original fabric ""BORO"" that reproduces the 褤 褸 with KAPITAL's processing technology. The lining of the conventional ""BORO 1ST JKT"" is made of rayon fabric with 褤 褸 printed on it, making it light and unique as a light outerwear.
* Please note that there are individual differences in the placement of the fabric.
* This product uses IDG dye. Color may adhere to other clothing when worn.
* This product is pre-processed. Tear or damage due to processing is the intention of the design, not a product defect. In addition, since it expresses changes due to aging, weakness may be seen in the fabric.
90% cotton 10% hemp
Back rayon 100%
100% acetate on the back of the sleeve
shipping from japan! 100% authentic and deadstock.
The holy grail of my collection!
see the measurements and sizing in the photos.
I have a size Large and XL so hmu for any details.",49,https://www.grailed.com/tipamoose,https://www.grailed.com/tipamoose/feedback,Size: US L / EU 52-54 / 3,NA,9
21204818,Kimono Japan Dragon × Vintage,Vintage Kapital Boro Inspired Patchwork Sleeveless Cardigan,m,$273,NA,NA,False,NA, 23 hours ,NA,/listings/21204818-kimono-japan-dragon-x-vintage-vintage-kapital-boro-inspired-patchwork-sleeveless-cardigan,Hadeess,NA,(396),173 ,1137 ,"Welcome!
Follow my full listing details before purchasing. Can Ask me if u have any questions or concerns about this listing.
Actual measurements
Armpit : 22 inch
Shoulder : 23 inch
Length from top collar to bottom: 27 inch
Compare our measurements with your best fits garments to avoid size problems. (VERY IMPORTANT)
In good pre-owned vintage condition. See our full listing pictures. This will arrive to you as the picture. Think wisely before buying. Very important part of this transaction.
Shipping information:
Proceed shipping within 2-3 days after receiving clear payments. We are using DHL EXPRESS. ETA 3-5 DAYS ONLY. Tracking number provided. NOT PROVIDED ECONOMY SHIPPING FOR NOW.
ITEM SOLD AS IT IS. NO RETURN REFUND EXCHANGE!
Accept offer for PayPal ready buyer.
ITEM SOLD AS IT IS. NO RETURN REFUND EXCHANGE. PLEASE ALERT WITH ALL THE DETAILS. KINDLY MESSAGE ME IF YOU HAVE ANY INQUIRIES.
Buy with confidence. 🍻",13,https://www.grailed.com/Hadeess,https://www.grailed.com/Hadeess/feedback,Size: US M / EU 48-50 / 2,NA,5
20571205,Designer × Green × Japanese Brand,Japan Brand Green Patchwork Denim Like Kapital Boro,34,$600,NA,NA,False, 1 month,2 days ,NA,/listings/20571205-designer-x-green-x-japanese-brand-japan-brand-green-patchwork-denim-like-kapital-boro,Kenjipunk,NA,(370),173 ,1082 ,"I HAVE 99% POSITIVE FEEDBACK. BUY WITH CONFIDENT!
Please Read all The Description carefully before buying. If you have any question. Feel free to ask.
(Check measurement below)
Size: please refer to actual manual measurement and compare with your clothes.
Tag : Green
Size on tag:
Manual measurement:-
Waist : 34 Inches
Thigh : 24 Inches
Knees : 18 inches
Leg opening : 16 inches
Inseam : 27 inches
Outseam (Length) : 39 inches
Condition :-
Status : Used
Scale : 8/10
Made : japan
Ask me if you interested. TRUSTED SELLER. You can refer our feedback for more confident.
No returns or refund for sizing problem. It is not our fault.
-------------------------
⭐PAYMENT
I accept payment by paypal only
⭐SHIPPING
Item will be ship 1-3 working days after receive payment. And will update tracking after done shipment.
⭐OFFER
If you make offer, be prepare that i will accept your offer, so please be serious and make payment within 24hours.
And please make sure your paypal are ready. PLEASE DONT WASTE MY TIME. YOU WILL GET BLOCKED RIGHT AWAY.
😊Thanks for visiting and interest, Check out my other items.",31,https://www.grailed.com/Kenjipunk,https://www.grailed.com/Kenjipunk/feedback,Size: US 34 / EU 50,NA,9
20523758,Distressed Denim × Japanese Brand,Similar To Kapital Boro Bonds & Peace Ripped Distress Jeans,32,$87,$78,NA,False, 1 month,2 days ,10.34%,/listings/20523758-distressed-denim-x-japanese-brand-similar-to-kapital-boro-bonds-peace-ripped-distress-jeans,HanzDidiStore,NA,(373),170 ,471 ,"🌈Everyday is a fashion show and the world is your runway 🌈
👍welcome to Han Didi Store 👍
We ship using DHL eCommerce. Description 100% base on picture
Price is negotable!!!
✔️Brand : Similar to Kapital Boro Bonds & Peace Ripped Distress Jeans
✔️Size : L
✔️Country of origin : -
【MEASUREMENTS 】
Waist : 32 inches
Inseam : 31 inches
Total length/ outseam : 42 inches
Opening legs: 8.5 inches
(Pls kindly check the measurements carefully as it is the actual fit)
【PAYMENT 】
Accept PayPal only
(All items will be shipped within 1-3 working days after payment completed)
【SHIPPING 】
Economy shipping : 7-21 working days
【NOTICE 】
▪️All items will be shipped along with the tracking number after postage
▪️Pls kindly leave your contact number, because shipping company always need the contact number help delivering
▪️All items will be mark purchase as (Gift) or make value the lowest avoid import tax or fees
【REFUNDS 】
No returns, exchanges or refunds
😘Thanks your visit Han Didi Store, pls kindly follow us. We’ll upload items everyday, TQ 😘",15,https://www.grailed.com/HanzDidiStore,https://www.grailed.com/HanzDidiStore/feedback,Size: US 32 / EU 48,NA,6
20872835,Kapital,Kapital Sleep Cat Clutch Junya Watanabe Comme Des Garcons,os,NA,NA,$150,True,NA,Sold  4 hours ,NA,/listings/20872835-kapital-kapital-sleep-cat-clutch-junya-watanabe-comme-des-garcons,moonchouchou,NA,(170),68 ,121 ,"Kapital Sleep Cat Clutch Bag
Width 37 cm I Height 26 cm",8,https://www.grailed.com/moonchouchou,https://www.grailed.com/moonchouchou/feedback,Size: ONE SIZE,NA,6
19737166,In The Attic × Japanese Brand × Seditionaries,❗️in The Attic❗️ Japanese Brand Cargo Tactical Multipocket,31,NA,NA,$68,True,NA,Sold  6 hours ,NA,/listings/19737166-in-the-attic-x-japanese-brand-x-seditionaries-in-the-attic-japanese-brand-cargo-tactical-multipocket,FollowMeNice-page,NA,(133),60 ,458 ,"Note:
#Accept OFFER/Reasonable Only
#I Do Bundle or Combine Shipping,Save Shipping
#Discount on Multiple purchases
#Please leave the phone number after any purchases for shipping purpose!
Item: Japanese brand In The Attic Tactical Parachute Mens Cargo Multipocket Bondage Slim-cutting straight.
*Good condition
(Refer actual measurement)
Waist : 31 inch ,Outseam : 41 inch ,Inseam : 30.5 inch, Front Rise : 10 inch
Thigh : 11inch(22” one round)
Hip: 20 inch(40 “ one round)
Knee : 8 inch(16” one round)
O.Leg : 7.5 inch(15” one round)
*Make sure your size is Correct
*No return and refund.
SHIPPING :
Express DHL Shipping-Usually 5-10 day arrive
Pay Attention;
*Please leave your phone number for shipping purpose/courier purpose
!!!RETURNABLE/REFUNDABLE are not acceptable!!
Happy Shopping
Your Support is much appreciated and thanks
Thank For Visited.",16,https://www.grailed.com/FollowMeNice-page,https://www.grailed.com/FollowMeNice-page/feedback,Size: US 31,NA,7
16724044,Kapital,Kapital Redux Boro Denim,29,NA,NA,$670,True,NA,Sold  8 hours ,NA,/listings/16724044-kapital-kapital-redux-boro-denim,henryso567,NA,(9),0,1 ,"Condition 8/10
SIZE 2
Waist 79CM
Rise 34CM
Inseam 70CM
Hip 106CM
Thigh width 32CM
Hem width 19CM",63,https://www.grailed.com/henryso567,https://www.grailed.com/henryso567,Size: US 29,NA,7
