pid,b_name,title,size,og_price,new_price,sold_price,is_sold,old_date,new_date,%p_change,Link,uname,ship_cost,amt_sold,amt_feedback,amt_listings,desc,amt_likes,prf_link,feed_link,size_desc,loc,amt_pics
20932702,Jordan Brand,Jordan 1 1985 Neutral Grey Us10.5,10.5,"$4,700",NA,NA,False,NA,18 days ,NA,/listings/20932702-jordan-brand-jordan-1-1985-neutral-grey-us10-5,lucamarv,NA,(42),10 ,8 ,NA,36,https://www.grailed.com/lucamarv,https://www.grailed.com/lucamarv/feedback,Size: US 10.5 / EU 43-44,NA,11
16240476,Jordan Brand × Nike × Vintage,1985 Neutral Grey,8.5,"$1,500",$650,NA,False,8 months,3 months ,56.67%,/listings/16240476-jordan-brand-x-nike-x-vintage-1985-neutral-grey,sk01,NA,(43),8 ,53 ,NA,90,https://www.grailed.com/sk01,https://www.grailed.com/sk01/feedback,Size: US 8.5 / EU 41-42,NA,9
21062140,Other,Thinking Different Air Mac 1 Neutral Grey 1984 Aj85 N,10,$475,$427,NA,False,12 days,5 days ,10.11%,/listings/21062140-other-thinking-different-air-mac-1-neutral-grey-1984-aj85-n,joshuapearce,$35,(15),9 ,1 ,NA,13,https://www.grailed.com/joshuapearce,https://www.grailed.com/joshuapearce/feedback,Size: US 10 / EU 43,UK,6
18611476,Nike,Vintage 1986 Nike Team Convention Neutral Grey,8.5,$400,$360,NA,False,4 months,3 months ,10.0%,/listings/18611476-nike-vintage-1986-nike-team-convention-neutral-grey,Sadvillainy,$35,(35),3 ,1 ,NA,99,https://www.grailed.com/Sadvillainy,https://www.grailed.com/Sadvillainy/feedback,Size: US 8.5 / EU 41-42,Canada,8
19481362,Nike × Vintage,1984 Nike Recognition Og Hi Neutral Grey,10,$550,$495,NA,False,3 months, 2 months ,10.0%,/listings/19481362-nike-x-vintage-1984-nike-recognition-og-hi-neutral-grey,cxlvn,NA,(161),134 ,15 ,NA,28,https://www.grailed.com/cxlvn,https://www.grailed.com/cxlvn/feedback,Size: US 10 / EU 43,NA,10
18387884,Nike,Vintage Nike Legend High Natural Grey 1981,7.5,$450,$237,NA,False,5 months,3 days ,47.33%,/listings/18387884-nike-vintage-nike-legend-high-natural-grey-1981,michael-s,$40,(74),6 ,6 ,NA,33,https://www.grailed.com/michael-s,https://www.grailed.com/michael-s/feedback,Size: US 7.5 / EU 40-41,US,6
21063150,Collegium,Platinum Suede Pillar Destroyer High,10,$375,NA,NA,False,12 days,5 days ,NA,/listings/21063150-collegium-platinum-suede-pillar-destroyer-high,thots,$10,(63),20 ,6 ,NA,11,https://www.grailed.com/thots,https://www.grailed.com/thots/feedback,Size: US 10 / EU 43,US,18
20921634,Apple,Thinking Different Air Mac 84 Us11,11,NA,NA,$400,True,NA,Sold 6 days ,NA,/listings/20921634-apple-thinking-different-air-mac-84-us11,uncop,NA,(84),20 ,15 ,NA,14,https://www.grailed.com/uncop,https://www.grailed.com/uncop/feedback,Size: US 11 / EU 44,NA,8
20874032,Nike,"Big Nike High White Wolf Grey ""neutral Grey"" 1985 2016",10.5,NA,NA,$150,True,NA,Sold 11 days ,NA,/listings/20874032-nike-big-nike-high-white-wolf-grey-neutral-grey-1985-2016,diecast,NA,(106),61 ,4 ,NA,12,https://www.grailed.com/diecast,https://www.grailed.com/diecast/feedback,Size: US 10.5 / EU 43-44,NA,8
20041228,Nike,Rare Nike Dunk High (2007) Grey/deep Garnet-sail Vintage,11,NA,NA,$120,True,NA,Sold 2 months ,NA,/listings/20041228-nike-rare-nike-dunk-high-2007-grey-deep-garnet-sail-vintage,whitelightwhiteheat,NA,(205),132 ,17 ,NA,5,https://www.grailed.com/whitelightwhiteheat,https://www.grailed.com/whitelightwhiteheat/feedback,Size: US 11 / EU 44,NA,11
19835846,Vintage,1984 Nike Sky Force Neutral Grey,8.5,NA,NA,$240,True,NA,Sold 2 months ,NA,/listings/19835846-vintage-1984-nike-sky-force-neutral-grey,withdnl,NA,(62),36 ,4 ,NA,11,https://www.grailed.com/withdnl,https://www.grailed.com/withdnl/feedback,Size: US 8.5 / EU 41-42,NA,3
19343393,Nike × Vintage,Vintage 1983 Nike Neutral Grey 80s Jordan 1 Dunk Sneakers,9,NA,NA,$65,True,NA,Sold 2 months ,NA,/listings/19343393-nike-x-vintage-vintage-1983-nike-neutral-grey-80s-jordan-1-dunk-sneakers,WestDistrict,NA,(151),71 ,23 ,NA,13,https://www.grailed.com/WestDistrict,https://www.grailed.com/WestDistrict/feedback,Size: US 9 / EU 42,NA,7
19739085,Nike × Vintage,Nike Air Jordan 1 1985 Og Neutral Grey 10,10,NA,NA,"$1,600",True,NA,Sold 2 months ,NA,/listings/19739085-nike-x-vintage-nike-air-jordan-1-1985-og-neutral-grey-10,raydvalle,NA,(855),505 ,5 ,NA,8,https://www.grailed.com/raydvalle,https://www.grailed.com/raydvalle/feedback,Size: US 10 / EU 43,NA,12
19439360,Nike,Nike Blazer Mid 77 Vntg,10.5,NA,NA,$65,True,NA,Sold 3 months ,NA,/listings/19439360-nike-nike-blazer-mid-77-vntg,uncop,NA,(84),20 ,15 ,NA,17,https://www.grailed.com/uncop,https://www.grailed.com/uncop/feedback,Size: US 10.5 / EU 43-44,NA,7
