pid,b_name,title,size,og_price,new_price,sold_price,is_sold,old_date,new_date,%p_change,Link,uname,ship_cost,amt_sold,amt_feedback,amt_listings,desc,amt_likes,prf_link,feed_link,size_desc,loc,amt_pics
18717702,Supreme,Supreme 2006 Red Holographic Box Logo T-shirt White,l,$800,NA,NA,False,NA,4 months ,NA,/listings/18717702-supreme-supreme-2006-red-holographic-box-logo-t-shirt-white,allcitygallery,$20,(234),121 ,227 ,NA,12,https://www.grailed.com/allcitygallery,https://www.grailed.com/allcitygallery/feedback,Size: US L / EU 52-54 / 3,US,8
17108431,Supreme,Supreme 2006 Red Holographic Box Logo T-shirt White,m,$670,$542,NA,False,7 months,5 months ,19.1%,/listings/17108431-supreme-supreme-2006-red-holographic-box-logo-t-shirt-white,art3000x,$15,(1),0,1 ,NA,38,https://www.grailed.com/art3000x,https://www.grailed.com/art3000x,Size: US M / EU 48-50 / 2,US,6
9706425,Supreme × Swarovski,Supreme X Swarovski Red Box Logo T Shirt M,m,$650,NA,NA,False,NA,almost 2 years ,NA,/listings/9706425-supreme-x-swarovski-supreme-x-swarovski-red-box-logo-t-shirt-m,nikovlahos_49,NA,(25),20 ,1 ,NA,38,https://www.grailed.com/nikovlahos_49,https://www.grailed.com/nikovlahos_49/feedback,Size: US M / EU 48-50 / 2,NA,3
3620661,Supreme,Supreme Red Snakeskin Box Logo White T-shirt,l,"$4,999",NA,NA,False,NA,over 3 years ,NA,/listings/3620661-supreme-supreme-red-snakeskin-box-logo-white-t-shirt,366VAULT,NA,(103),36 ,65 ,NA,188,https://www.grailed.com/366VAULT,https://www.grailed.com/366VAULT/feedback,Size: US L / EU 52-54 / 3,NA,3
20647722,Made In Usa × Supreme,Supreme Red Box Logo 20 Anniversary White Tee Shirt,m,$400,NA,NA,False, 1 month,3 days ,NA,/listings/20647722-made-in-usa-x-supreme-supreme-red-box-logo-20-anniversary-white-tee-shirt,kanzler33,NA,(778),327 ,1334 ,NA,10,https://www.grailed.com/kanzler33,https://www.grailed.com/kanzler33/feedback,Size: US M / EU 48-50 / 2,NA,21
21054952,Custom × Hanes × Supreme,Supreme X Hanes Red Box Logo Customized T-shirt Tank Top,s,$20,NA,NA,False,12 days,5 days ,NA,/listings/21054952-custom-x-hanes-x-supreme-supreme-x-hanes-red-box-logo-customized-t-shirt-tank-top,ITISFITS,NA,(1651),949 ,588 ,NA,12,https://www.grailed.com/ITISFITS,https://www.grailed.com/ITISFITS/feedback,Size: US S / EU 44-46 / 1,NA,7
10918625,Supreme × Swarovski,Supreme X Swarovski Red Box Logo Short Sleeved Tee Shirt,l,$650,$600,NA,False,NA,over 1 year ,7.69%,/listings/10918625-supreme-x-swarovski-supreme-x-swarovski-red-box-logo-short-sleeved-tee-shirt,dscanlan94,NA,(0),0,1 ,NA,30,https://www.grailed.com/dscanlan94,https://www.grailed.com/dscanlan94,Size: US L / EU 52-54 / 3,NA,4
16162526,Supreme × Vintage,1996 / 1997 Supreme Box Logo Red Tag Shirt Og,xl,$999,$728,NA,False,8 months, 2 months ,27.13%,/listings/16162526-supreme-x-vintage-1996-1997-supreme-box-logo-red-tag-shirt-og,HANGDRYY,NA,(732),527 ,258 ,NA,62,https://www.grailed.com/HANGDRYY,https://www.grailed.com/HANGDRYY/feedback,Size: US XL / EU 56 / 4,NA,7
18455176,Supreme,Fw16 Red Supreme Cnn Capone-n-noreaga Box Logo T-shirt,m,$100,$64,NA,False,5 months,4 months ,36.0%,/listings/18455176-supreme-fw16-red-supreme-cnn-capone-n-noreaga-box-logo-t-shirt,jamesiv,NA,(15),4 ,2 ,NA,18,https://www.grailed.com/jamesiv,https://www.grailed.com/jamesiv/feedback,Size: US M / EU 48-50 / 2,NA,6
13689566,Supreme × Vintage,Vintage 90s Supreme Box Logo Red On Red Shirt,l,"$1,200",$972,NA,False, 1 year,11 months ,19.0%,/listings/13689566-supreme-x-vintage-vintage-90s-supreme-box-logo-red-on-red-shirt,RAZYSALLEHSTORE,NA,(180),66 ,846 ,NA,29,https://www.grailed.com/RAZYSALLEHSTORE,https://www.grailed.com/RAZYSALLEHSTORE/feedback,Size: US L / EU 52-54 / 3,NA,7
15134815,Supreme,2008 Supreme Charles Bronson Tee Shirt Red Chaos Box Logo,m,$225,$180,NA,False,10 months,3 months ,20.0%,/listings/15134815-supreme-2008-supreme-charles-bronson-tee-shirt-red-chaos-box-logo,NYU2018,NA,(12),9 ,8 ,NA,26,https://www.grailed.com/NYU2018,https://www.grailed.com/NYU2018/feedback,Size: US M / EU 48-50 / 2,NA,4
11590311,Supreme,2008 Supreme Charles Bronson Tee Shirt Red Chaos Box Logo,l,$215,$140,NA,False,over 1 year,over 1 year ,34.88%,/listings/11590311-supreme-2008-supreme-charles-bronson-tee-shirt-red-chaos-box-logo,PIGBNIS,NA,(68),9 ,25 ,NA,87,https://www.grailed.com/PIGBNIS,https://www.grailed.com/PIGBNIS/feedback,Size: US L / EU 52-54 / 3,NA,9
18949482,Supreme,Supreme Cross Box Logo T Shirt Red,m,$200,$156,NA,False,4 months,4 months ,22.0%,/listings/18949482-supreme-supreme-cross-box-logo-t-shirt-red,sirriegiy,$8,(44),18 ,25 ,NA,11,https://www.grailed.com/sirriegiy,https://www.grailed.com/sirriegiy/feedback,Size: US M / EU 48-50 / 2,US,2
8745041,Fox,Vintage Fox Shirt Supreme Bape Green And Red Box Logo Size L,l,$15,$11,NA,False, 2 years,almost 2 years ,26.67%,/listings/8745041-fox-vintage-fox-shirt-supreme-bape-green-and-red-box-logo-size-l,SEALFON,NA,(114),45 ,118 ,NA,63,https://www.grailed.com/SEALFON,https://www.grailed.com/SEALFON/feedback,Size: US L / EU 52-54 / 3,NA,4
8745177,Supreme,Geto Boys Box Logo Red T-shirt Ds,l,$150,$135,NA,False, 2 years, 2 years ,10.0%,/listings/8745177-supreme-geto-boys-box-logo-red-t-shirt-ds,bwolf,NA,(31),21 ,5 ,NA,15,https://www.grailed.com/bwolf,https://www.grailed.com/bwolf/feedback,Size: US L / EU 52-54 / 3,NA,4
7688117,Supreme,Mini Box Logo Red T Shirt,m,$200,$180,NA,False,over 2 years,over 2 years ,10.0%,/listings/7688117-supreme-mini-box-logo-red-t-shirt,Hype_Sneaker_CO,NA,(1),0,2 ,NA,2,https://www.grailed.com/Hype_Sneaker_CO,https://www.grailed.com/Hype_Sneaker_CO,Size: US M / EU 48-50 / 2,NA,0
19655287,Supreme × Undercover,Ss15 Supreme Undercover Bear Box Logo Tee Shirt Red,m,$260,$230,NA,False,3 months,23 days ,11.54%,/listings/19655287-supreme-x-undercover-ss15-supreme-undercover-bear-box-logo-tee-shirt-red,LNF,$5,(1724),834 ,301 ,NA,23,https://www.grailed.com/LNF,https://www.grailed.com/LNF/feedback,Size: US M / EU 48-50 / 2,US,5
19655292,Supreme × Undercover,Ss15 Supreme Undercover Bear Box Logo Tee Shirt Red,l,$250,$225,NA,False,3 months,23 days ,10.0%,/listings/19655292-supreme-x-undercover-ss15-supreme-undercover-bear-box-logo-tee-shirt-red,LNF,$5,(1724),834 ,301 ,NA,17,https://www.grailed.com/LNF,https://www.grailed.com/LNF/feedback,Size: US L / EU 52-54 / 3,US,6
19735404,Supreme × Undercover,Ss15 Supreme Undercover Bear Box Logo Tee Shirt Red,l,$245,NA,NA,False,NA,3 months ,NA,/listings/19735404-supreme-x-undercover-ss15-supreme-undercover-bear-box-logo-tee-shirt-red,BOGOLAND,$14,(17),9 ,8 ,NA,13,https://www.grailed.com/BOGOLAND,https://www.grailed.com/BOGOLAND/feedback,Size: US L / EU 52-54 / 3,US,4
20258842,Grailed × Hype × Supreme,Supreme 90s Box Logo Burgundy Wine Red T-shirt,m,"$1,500","$1,350",NA,False, 2 months,3 days ,10.0%,/listings/20258842-grailed-x-hype-x-supreme-supreme-90s-box-logo-burgundy-wine-red-t-shirt,FunkyVintage,NA,(30),17 ,27 ,NA,16,https://www.grailed.com/FunkyVintage,https://www.grailed.com/FunkyVintage/feedback,Size: US M / EU 48-50 / 2,NA,2
19561931,Supreme × Swarovski,Free Shipping Supreme Swarovski Box Logo Tee Red Large,l,$950,$855,NA,False,3 months, 2 months ,10.0%,/listings/19561931-supreme-x-swarovski-free-shipping-supreme-swarovski-box-logo-tee-red-large,SupremeSultan,NA,(198),80 ,86 ,NA,11,https://www.grailed.com/SupremeSultan,https://www.grailed.com/SupremeSultan/feedback,Size: US L / EU 52-54 / 3,NA,12
14757756,Supreme,Supreme Small Box Logo Tee Red,xl,$100,$81,NA,False,11 months,10 months ,19.0%,/listings/14757756-supreme-supreme-small-box-logo-tee-red,jackleavy,NA,(15),6 ,5 ,NA,13,https://www.grailed.com/jackleavy,https://www.grailed.com/jackleavy/feedback,Size: US XL / EU 56 / 4,NA,4
18899566,Supreme,Supreme Box Logo Reflective T Shirt,m,NA,NA,$54,True,NA,Sold 3 days ,NA,/listings/18899566-supreme-supreme-box-logo-reflective-t-shirt,JohnKook,NA,(32),10 ,32 ,NA,25,https://www.grailed.com/JohnKook,https://www.grailed.com/JohnKook/feedback,Size: US M / EU 48-50 / 2,NA,3
20447166,Supreme,Supreme Red Plaid Button Up Ss20,l,NA,NA,$120,True,NA,Sold 19 days ,NA,/listings/20447166-supreme-supreme-red-plaid-button-up-ss20,MaxB,NA,(159),109 ,4 ,NA,1,https://www.grailed.com/MaxB,https://www.grailed.com/MaxB/feedback,Size: US L / EU 52-54 / 3,NA,3
19431930,Supreme,Supreme Box Logo T Shirt Red,m,NA,NA,$120,True,NA,Sold 25 days ,NA,/listings/19431930-supreme-supreme-box-logo-t-shirt-red,arashad,NA,(2),0,0 ,NA,41,https://www.grailed.com/arashad,https://www.grailed.com/arashad,Size: US M / EU 48-50 / 2,NA,6
16879238,Supreme,Supreme Picasso Cubist Button Up Shirt Medium Box Logo,m,NA,NA,$114,True,NA,Sold  2 months ,NA,/listings/16879238-supreme-supreme-picasso-cubist-button-up-shirt-medium-box-logo,1billion_organisms,NA,(371),260 ,25 ,NA,23,https://www.grailed.com/1billion_organisms,https://www.grailed.com/1billion_organisms/feedback,Size: US M / EU 48-50 / 2,NA,6
20283994,Supreme,Supreme Raphael Tee Black Large,l,NA,NA,$85,True,NA,Sold  2 months ,NA,/listings/20283994-supreme-supreme-raphael-tee-black-large,nolangrails,NA,(318),206 ,21 ,NA,0,https://www.grailed.com/nolangrails,https://www.grailed.com/nolangrails/feedback,Size: US L / EU 52-54 / 3,NA,2
20284053,Supreme,Supreme Water Pistol Tee Light Pink Medium,m,NA,NA,$70,True,NA,Sold  2 months ,NA,/listings/20284053-supreme-supreme-water-pistol-tee-light-pink-medium,nolangrails,NA,(318),206 ,21 ,NA,0,https://www.grailed.com/nolangrails,https://www.grailed.com/nolangrails/feedback,Size: US M / EU 48-50 / 2,NA,2
19532760,Supreme,Supreme Red Bandana Box Logo T-shirt,l,NA,NA,$140,True,NA,Sold  2 months ,NA,/listings/19532760-supreme-supreme-red-bandana-box-logo-t-shirt,elijahsellsthings,NA,(11),8 ,5 ,NA,11,https://www.grailed.com/elijahsellsthings,https://www.grailed.com/elijahsellsthings/feedback,Size: US L / EU 52-54 / 3,NA,4
20152321,Supreme,Supreme Cross Box Logo T-shirt,l,NA,NA,$140,True,NA,Sold  2 months ,NA,/listings/20152321-supreme-supreme-cross-box-logo-t-shirt,jerseycloset,NA,0,5 ,0 ,NA,4,https://www.grailed.com/jerseycloset,https://www.grailed.com/jerseycloset/feedback,Size: US L / EU 52-54 / 3,NA,4
19280007,Supreme,Supreme Cross Box Logo T-shirt,s,NA,NA,$100,True,NA,Sold  2 months ,NA,/listings/19280007-supreme-supreme-cross-box-logo-t-shirt,Jpasheville,NA,(329),173 ,27 ,NA,19,https://www.grailed.com/Jpasheville,https://www.grailed.com/Jpasheville/feedback,Size: US S / EU 44-46 / 1,NA,3
